2026-01-21 00:29:53,126 | mission_manager | INFO | Starting mission (sitl=True) -> target=(33.7496616, 73.1676921, 30.0m)
2026-01-21 00:29:53,142 | vehicle_utils | INFO | Connecting to vehicle: tcp:127.0.0.1:5762 (sitl=True)
2026-01-21 00:29:53,277 | autopilot | INFO | ArduCopter V4.7.0-dev (04cf6486)
2026-01-21 00:29:53,280 | autopilot | INFO | Awais
2026-01-21 00:29:53,280 | autopilot | INFO | Frame: QUAD/PLUS
2026-01-21 00:29:53,882 | vehicle_utils | INFO | Connected ✅  Firmware=APM:Copter-None.None.NoneUnknownReleaseType  Mode=GUIDED
2026-01-21 00:29:53,884 | mission_manager | INFO | Arming...
2026-01-21 00:29:53,884 | mission_manager | INFO | Takeoff to 30.0m
2026-01-21 00:30:19,137 | mission_manager | WARNING | KeyboardInterrupt -> stopping
2026-01-21 00:30:19,137 | mission_manager | WARNING | FAILSAFE: RTL
2026-01-21 00:33:32,639 | mission_manager | INFO | Starting mission (sitl=True) -> target=(33.7496616, 73.1676921, 30.0m)
2026-01-21 00:33:32,639 | vehicle_utils | INFO | Connecting to vehicle: tcp:127.0.0.1:5762 (sitl=True)
2026-01-21 00:33:32,743 | autopilot | INFO | ArduCopter V4.7.0-dev (04cf6486)
2026-01-21 00:33:32,743 | autopilot | INFO | Awais
2026-01-21 00:33:32,743 | autopilot | INFO | Frame: QUAD/PLUS
2026-01-21 00:33:33,391 | vehicle_utils | INFO | Connected ✅  Firmware=APM:Copter-4.7.0-dev0  Mode=RTL
2026-01-21 00:33:33,592 | mission_manager | INFO | Arming...
2026-01-21 00:33:33,601 | autopilot | INFO | Arming motors
2026-01-21 00:33:33,792 | mission_manager | INFO | Takeoff to 30.0m
2026-01-21 00:33:39,226 | autopilot | INFO | EKF3 IMU1 MAG0 in-flight yaw alignment complete
2026-01-21 00:33:39,254 | autopilot | INFO | EKF3 IMU0 MAG0 in-flight yaw alignment complete
2026-01-21 00:33:51,931 | waypoint_module | INFO | GOTO: lat=33.7496616 lon=73.1676921 alt=30.0
2026-01-21 00:33:51,931 | waypoint_module | INFO | ...dist=429.0m gs=0.03 alt=30.0
2026-01-21 00:33:52,139 | waypoint_module | INFO | ...dist=429.0m gs=0.04 alt=30.0
2026-01-21 00:33:52,353 | waypoint_module | INFO | ...dist=429.0m gs=0.04 alt=30.0
2026-01-21 00:33:52,553 | waypoint_module | INFO | ...dist=428.9m gs=0.29 alt=30.0
